timestamp,symbol,type,price,profit_rate,reason
2026-04-29 07:14:15,XRP/USDT,BUY,1.3818,0,거래량 돌파
2026-04-29 15:59:43,BTC/USDT,BUY,77031.06,0,거래량 돌파
2026-04-29 18:57:18,SOL/USDT,BUY,85.18,0,거래량 돌파
2026-04-29 21:15:02,BTC/USDT,SELL,77310.11,0.36,TS
2026-04-29 21:15:08,XRP/USDT,SELL,1.385,0.23,TS
2026-04-29 21:20:41,SOL/USDT,SELL,84.19,-1.16,TS
2026-04-30 21:25:32,BTC/USDT,BUY,76358.19,0,거래량 돌파
2026-05-01 09:12:42,XRP/USDT,BUY,1.3727,0,거래량 돌파
2026-05-01 14:14:29,SOL/USDT,BUY,84.15,0,거래량 돌파
2026-05-01 23:26:40,BTC/USDT,SELL,78200.0,2.41,TS
2026-05-02 00:51:04,XRP/USDT,SELL,1.3936,1.52,EMA
2026-05-02 05:52:53,SOL/USDT,SELL,83.43,-0.86,TS
2026-05-02 11:13:59,SOL/USDT,BUY,84.05,0,거래량 돌파
2026-05-02 18:53:48,XRP/USDT,BUY,1.3868,0,거래량 돌파
